player_name,team,nationality,role,season,wickets,bowling_avg,economy_rate,bowling_sr,dot_ball_pct,death_economy,powerplay_wickets,career_wickets,career_bowling_avg,career_economy,career_bowling_sr,seasons_played
Cameron Green,MI,Overseas,All-Rounder,2022,5,40.2,9.64,26.0,39.3,9.0,1,11,38.6,9.8,23.6,2
Cameron Green,MI,Overseas,All-Rounder,2023,6,38.39,9.45,23.9,42.0,9.13,2,11,38.6,9.8,23.6,2
Cameron Green,MI,Overseas,All-Rounder,2024,5,40.68,10.07,25.6,46.1,11.4,1,11,38.6,9.8,23.6,2
Shakib Al Hasan,KKR,Overseas,All-Rounder,2019,6,30.81,7.1,24.7,32.2,7.9,2,63,29.9,7.3,24.5,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2020,5,27.52,7.75,24.4,44.8,7.03,1,63,29.9,7.3,24.5,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2021,4,26.9,7.87,24.5,31.7,8.86,1,63,29.9,7.3,24.5,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2022,3,30.57,7.6,25.1,43.2,8.92,0,63,29.9,7.3,24.5,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2023,3,29.07,7.19,22.1,36.8,7.46,0,63,29.9,7.3,24.5,13
Shakib Al Hasan,KKR,Overseas,All-Rounder,2024,4,26.18,7.58,23.2,45.0,7.76,0,63,29.9,7.3,24.5,13
Deepak Hooda,LSG,Indian,All-Rounder,2019,2,34.79,8.64,25.6,32.5,8.05,0,21,40.2,8.54,28.2,9
Deepak Hooda,LSG,Indian,All-Rounder,2020,2,35.77,8.41,30.5,43.5,8.13,0,21,40.2,8.54,28.2,9
Deepak Hooda,LSG,Indian,All-Rounder,2021,2,41.25,8.78,27.9,34.7,9.0,0,21,40.2,8.54,28.2,9
Deepak Hooda,LSG,Indian,All-Rounder,2022,2,35.33,8.53,28.0,35.6,8.74,0,21,40.2,8.54,28.2,9
Deepak Hooda,LSG,Indian,All-Rounder,2023,2,42.66,8.48,26.8,32.1,10.06,0,21,40.2,8.54,28.2,9
Deepak Hooda,LSG,Indian,All-Rounder,2024,2,34.47,8.86,25.7,54.5,10.29,0,21,40.2,8.54,28.2,9
Jasprit Bumrah,MI,Indian,Bowler,2019,14,24.8,7.05,17.2,33.6,8.2,3,145,23.49,7.43,18.9,11
Jasprit Bumrah,MI,Indian,Bowler,2020,11,22.34,6.94,18.7,35.7,7.12,2,145,23.49,7.43,18.9,11
Jasprit Bumrah,MI,Indian,Bowler,2021,13,26.1,7.44,20.7,52.7,7.64,2,145,23.49,7.43,18.9,11
Jasprit Bumrah,MI,Indian,Bowler,2022,14,21.74,7.47,18.3,46.3,7.06,5,145,23.49,7.43,18.9,11
Jasprit Bumrah,MI,Indian,Bowler,2023,12,23.29,7.28,19.9,49.1,6.91,5,145,23.49,7.43,18.9,11
Jasprit Bumrah,MI,Indian,Bowler,2024,14,26.32,7.16,20.9,42.4,7.1,5,145,23.49,7.43,18.9,11
Yuzvendra Chahal,RR,Indian,Bowler,2019,13,19.73,8.2,16.8,53.8,7.4,2,187,22.4,7.62,17.6,10
Yuzvendra Chahal,RR,Indian,Bowler,2020,24,23.56,7.61,19.4,48.4,7.65,5,187,22.4,7.62,17.6,10
Yuzvendra Chahal,RR,Indian,Bowler,2021,16,23.17,7.47,16.7,47.1,6.8,7,187,22.4,7.62,17.6,10
Yuzvendra Chahal,RR,Indian,Bowler,2022,14,21.13,7.12,18.3,44.6,8.35,4,187,22.4,7.62,17.6,10
Yuzvendra Chahal,RR,Indian,Bowler,2023,16,19.46,7.74,18.0,33.8,7.81,6,187,22.4,7.62,17.6,10
Yuzvendra Chahal,RR,Indian,Bowler,2024,19,21.02,7.76,17.3,44.9,9.0,8,187,22.4,7.62,17.6,10
Rashid Khan,GT,Overseas,Bowler,2019,18,17.68,7.0,17.6,34.4,7.84,6,112,20.4,6.68,18.3,7
Rashid Khan,GT,Overseas,Bowler,2020,19,17.91,6.23,17.1,51.1,7.33,4,112,20.4,6.68,18.3,7
Rashid Khan,GT,Overseas,Bowler,2021,20,20.95,6.95,18.3,33.1,7.65,6,112,20.4,6.68,18.3,7
Rashid Khan,GT,Overseas,Bowler,2022,18,19.16,6.85,18.9,33.8,6.64,5,112,20.4,6.68,18.3,7
Rashid Khan,GT,Overseas,Bowler,2023,17,18.31,6.38,18.2,33.8,7.03,8,112,20.4,6.68,18.3,7
Rashid Khan,GT,Overseas,Bowler,2024,19,20.39,6.67,19.1,47.7,6.2,6,112,20.4,6.68,18.3,7
Bhuvneshwar Kumar,SRH,Indian,Bowler,2019,9,23.33,7.71,22.1,54.2,7.08,3,170,25.3,7.18,21.1,15
Bhuvneshwar Kumar,SRH,Indian,Bowler,2020,12,23.78,7.52,19.7,34.5,7.81,3,170,25.3,7.18,21.1,15
Bhuvneshwar Kumar,SRH,Indian,Bowler,2021,7,24.36,6.98,23.6,35.9,6.49,3,170,25.3,7.18,21.1,15
Bhuvneshwar Kumar,SRH,Indian,Bowler,2022,14,23.12,7.53,21.4,30.9,7.76,6,170,25.3,7.18,21.1,15
Bhuvneshwar Kumar,SRH,Indian,Bowler,2023,9,22.95,6.87,19.7,37.4,8.16,1,170,25.3,7.18,21.1,15
Bhuvneshwar Kumar,SRH,Indian,Bowler,2024,14,28.83,6.8,21.0,51.1,7.29,6,170,25.3,7.18,21.1,15
Mohammed Shami,GT,Indian,Bowler,2019,10,23.45,7.75,18.0,41.3,7.4,4,116,24.6,8.14,18.1,11
Mohammed Shami,GT,Indian,Bowler,2020,8,20.92,7.67,16.1,40.5,9.04,1,116,24.6,8.14,18.1,11
Mohammed Shami,GT,Indian,Bowler,2021,10,26.0,7.56,16.8,34.3,8.82,4,116,24.6,8.14,18.1,11
Mohammed Shami,GT,Indian,Bowler,2022,8,21.87,7.68,19.9,31.3,7.46,2,116,24.6,8.14,18.1,11
Mohammed Shami,GT,Indian,Bowler,2023,11,22.91,8.33,16.6,40.3,9.05,3,116,24.6,8.14,18.1,11
Mohammed Shami,GT,Indian,Bowler,2024,13,27.56,8.3,16.7,51.8,8.67,4,116,24.6,8.14,18.1,11
Trent Boult,MI,Overseas,Bowler,2019,9,27.61,7.76,19.4,43.3,8.24,3,105,24.1,8.03,18.0,9
Trent Boult,MI,Overseas,Bowler,2020,10,22.32,8.54,16.1,50.2,9.63,3,105,24.1,8.03,18.0,9
Trent Boult,MI,Overseas,Bowler,2021,8,21.83,7.6,18.4,36.3,7.3,1,105,24.1,8.03,18.0,9
Trent Boult,MI,Overseas,Bowler,2022,8,21.96,8.22,16.3,31.8,7.42,2,105,24.1,8.03,18.0,9
Trent Boult,MI,Overseas,Bowler,2023,11,22.0,7.86,16.3,51.6,7.38,5,105,24.1,8.03,18.0,9
Trent Boult,MI,Overseas,Bowler,2024,8,22.82,8.25,17.0,34.6,8.97,2,105,24.1,8.03,18.0,9
Kagiso Rabada,PBKS,Overseas,Bowler,2019,12,23.93,8.6,16.0,35.3,8.74,4,84,22.8,8.36,16.3,7
Kagiso Rabada,PBKS,Overseas,Bowler,2020,11,20.6,8.58,15.1,35.9,8.35,2,84,22.8,8.36,16.3,7
Kagiso Rabada,PBKS,Overseas,Bowler,2021,15,24.57,8.92,17.9,38.2,8.43,3,84,22.8,8.36,16.3,7
Kagiso Rabada,PBKS,Overseas,Bowler,2022,10,21.96,8.65,17.4,54.7,8.79,4,84,22.8,8.36,16.3,7
Kagiso Rabada,PBKS,Overseas,Bowler,2023,9,20.04,8.24,15.7,46.0,8.84,4,84,22.8,8.36,16.3,7
Kagiso Rabada,PBKS,Overseas,Bowler,2024,10,20.14,8.29,17.7,35.8,8.26,2,84,22.8,8.36,16.3,7
Harshal Patel,RCB,Indian,Bowler,2019,9,22.78,9.28,16.1,32.0,10.74,3,121,24.3,8.73,16.7,12
Harshal Patel,RCB,Indian,Bowler,2020,11,22.08,8.86,18.5,30.3,10.17,4,121,24.3,8.73,16.7,12
Harshal Patel,RCB,Indian,Bowler,2021,8,22.57,8.56,17.3,34.7,9.51,3,121,24.3,8.73,16.7,12
Harshal Patel,RCB,Indian,Bowler,2022,10,21.23,8.36,17.3,31.4,9.84,4,121,24.3,8.73,16.7,12
Harshal Patel,RCB,Indian,Bowler,2023,9,27.37,8.24,18.1,45.7,8.33,4,121,24.3,8.73,16.7,12
Harshal Patel,RCB,Indian,Bowler,2024,11,21.58,8.03,16.2,34.0,8.25,3,121,24.3,8.73,16.7,12
Arshdeep Singh,PBKS,Indian,Bowler,2019,20,28.17,8.45,20.0,44.2,9.81,5,80,26.5,8.37,19.0,5
Arshdeep Singh,PBKS,Indian,Bowler,2020,17,25.64,8.04,19.8,32.7,8.46,6,80,26.5,8.37,19.0,5
Arshdeep Singh,PBKS,Indian,Bowler,2021,15,22.6,8.33,17.8,32.7,7.5,6,80,26.5,8.37,19.0,5
Arshdeep Singh,PBKS,Indian,Bowler,2022,19,29.69,8.88,20.0,34.1,9.23,3,80,26.5,8.37,19.0,5
Arshdeep Singh,PBKS,Indian,Bowler,2023,19,29.69,8.9,21.2,32.3,9.19,7,80,26.5,8.37,19.0,5
Arshdeep Singh,PBKS,Indian,Bowler,2024,17,25.63,9.02,17.3,42.5,9.35,3,80,26.5,8.37,19.0,5
Kuldeep Yadav,DC,Indian,Bowler,2019,9,22.6,7.95,17.5,31.9,7.92,2,104,23.9,7.75,18.5,8
Kuldeep Yadav,DC,Indian,Bowler,2020,10,21.94,8.08,16.3,47.1,7.6,2,104,23.9,7.75,18.5,8
Kuldeep Yadav,DC,Indian,Bowler,2021,12,22.55,8.08,18.8,54.4,8.24,4,104,23.9,7.75,18.5,8
Kuldeep Yadav,DC,Indian,Bowler,2022,11,25.32,7.83,17.6,34.0,8.22,3,104,23.9,7.75,18.5,8
Kuldeep Yadav,DC,Indian,Bowler,2023,10,22.15,8.34,19.5,41.3,9.74,2,104,23.9,7.75,18.5,8
Kuldeep Yadav,DC,Indian,Bowler,2024,13,23.21,8.25,18.3,32.5,8.14,2,104,23.9,7.75,18.5,8
T Natarajan,SRH,Indian,Bowler,2020,15,26.69,8.76,19.6,48.3,9.76,3,71,27.8,8.62,19.3,4
T Natarajan,SRH,Indian,Bowler,2021,18,26.03,9.09,20.6,46.1,8.43,8,71,27.8,8.62,19.3,4
T Natarajan,SRH,Indian,Bowler,2022,13,30.32,9.2,20.7,33.6,10.28,4,71,27.8,8.62,19.3,4
T Natarajan,SRH,Indian,Bowler,2023,14,24.53,8.52,17.8,33.6,9.83,6,71,27.8,8.62,19.3,4
T Natarajan,SRH,Indian,Bowler,2024,18,27.23,9.01,17.3,54.4,9.4,8,71,27.8,8.62,19.3,4
Mohit Sharma,GT,Indian,Bowler,2019,6,24.32,8.98,20.8,54.9,9.45,1,82,28.4,8.74,19.5,11
Mohit Sharma,GT,Indian,Bowler,2020,7,27.66,8.17,21.4,40.4,9.13,2,82,28.4,8.74,19.5,11
Mohit Sharma,GT,Indian,Bowler,2021,7,32.55,9.2,19.0,34.7,9.13,2,82,28.4,8.74,19.5,11
Mohit Sharma,GT,Indian,Bowler,2022,7,24.77,9.43,21.0,38.2,11.13,3,82,28.4,8.74,19.5,11
Mohit Sharma,GT,Indian,Bowler,2023,7,24.38,8.92,20.7,43.4,8.95,2,82,28.4,8.74,19.5,11
Mohit Sharma,GT,Indian,Bowler,2024,7,26.54,8.58,21.1,40.8,8.07,1,82,28.4,8.74,19.5,11
