player_name,role,nationality,season,auction_price_cr,is_overseas
Suryakumar Yadav,Batter,Indian,2024,8.0,0
Ruturaj Gaikwad,Batter,Indian,2019,6.36,0
Ruturaj Gaikwad,Batter,Indian,2020,7.56,0
Ruturaj Gaikwad,Batter,Indian,2021,5.97,0
Ruturaj Gaikwad,Batter,Indian,2022,6.0,0
Ruturaj Gaikwad,Batter,Indian,2023,6.0,0
Ruturaj Gaikwad,Batter,Indian,2024,6.0,0
Yashasvi Jaiswal,Batter,Indian,2022,2.0,0
Yashasvi Jaiswal,Batter,Indian,2023,2.0,0
Yashasvi Jaiswal,Batter,Indian,2024,2.0,0
MS Dhoni,WK-Batter,Indian,2019,13.75,0
MS Dhoni,WK-Batter,Indian,2020,15.35,0
MS Dhoni,WK-Batter,Indian,2021,15.79,0
MS Dhoni,WK-Batter,Indian,2022,12.0,0
MS Dhoni,WK-Batter,Indian,2023,12.0,0
MS Dhoni,WK-Batter,Indian,2024,12.0,0
AB de Villiers,Batter,Overseas,2019,16.58,1
AB de Villiers,Batter,Overseas,2020,15.17,1
AB de Villiers,Batter,Overseas,2021,11.53,1
AB de Villiers,Batter,Overseas,2022,9.56,1
AB de Villiers,Batter,Overseas,2023,12.26,1
AB de Villiers,Batter,Overseas,2024,13.88,1
Rishabh Pant,WK-Batter,Indian,2019,7.19,0
Rishabh Pant,WK-Batter,Indian,2020,10.55,0
Rishabh Pant,WK-Batter,Indian,2021,7.72,0
Rishabh Pant,WK-Batter,Indian,2022,16.0,0
Rishabh Pant,WK-Batter,Indian,2023,0.0,0
Rishabh Pant,WK-Batter,Indian,2024,16.0,0
Sanju Samson,WK-Batter,Indian,2019,8.03,0
Sanju Samson,WK-Batter,Indian,2020,10.0,0
Sanju Samson,WK-Batter,Indian,2021,10.6,0
Sanju Samson,WK-Batter,Indian,2022,14.0,0
Sanju Samson,WK-Batter,Indian,2023,14.0,0
Sanju Samson,WK-Batter,Indian,2024,14.0,0
Ishan Kishan,WK-Batter,Indian,2019,7.48,0
Ishan Kishan,WK-Batter,Indian,2020,5.51,0
Ishan Kishan,WK-Batter,Indian,2021,4.97,0
Ishan Kishan,WK-Batter,Indian,2022,15.25,0
Ishan Kishan,WK-Batter,Indian,2023,15.25,0
Ishan Kishan,WK-Batter,Indian,2024,15.25,0
Dinesh Karthik,WK-Batter,Indian,2019,10.48,0
Dinesh Karthik,WK-Batter,Indian,2020,9.27,0
Dinesh Karthik,WK-Batter,Indian,2021,8.9,0
Dinesh Karthik,WK-Batter,Indian,2022,11.51,0
Dinesh Karthik,WK-Batter,Indian,2023,9.19,0
Dinesh Karthik,WK-Batter,Indian,2024,11.85,0
Nicholas Pooran,WK-Batter,Overseas,2019,5.28,1
Nicholas Pooran,WK-Batter,Overseas,2020,4.86,1
Nicholas Pooran,WK-Batter,Overseas,2021,4.52,1
Nicholas Pooran,WK-Batter,Overseas,2022,3.44,1
Nicholas Pooran,WK-Batter,Overseas,2023,4.05,1
Nicholas Pooran,WK-Batter,Overseas,2024,3.36,1
Prithvi Shaw,Batter,Indian,2019,5.23,0
Prithvi Shaw,Batter,Indian,2020,4.7,0
Prithvi Shaw,Batter,Indian,2021,5.99,0
Prithvi Shaw,Batter,Indian,2022,4.94,0
Prithvi Shaw,Batter,Indian,2023,4.3,0
Prithvi Shaw,Batter,Indian,2024,4.06,0
Devdutt Padikkal,Batter,Indian,2020,3.57,0
Devdutt Padikkal,Batter,Indian,2021,3.56,0
Devdutt Padikkal,Batter,Indian,2022,3.15,0
Devdutt Padikkal,Batter,Indian,2023,3.18,0
Devdutt Padikkal,Batter,Indian,2024,2.74,0
Tilak Varma,Batter,Indian,2022,1.75,0
Tilak Varma,Batter,Indian,2023,2.15,0
Tilak Varma,Batter,Indian,2024,2.38,0
Tim David,Batter,Overseas,2022,1.38,1
Tim David,Batter,Overseas,2023,1.73,1
Tim David,Batter,Overseas,2024,1.78,1
Ambati Rayudu,Batter,Indian,2019,9.05,0
Ambati Rayudu,Batter,Indian,2020,8.94,0
Ambati Rayudu,Batter,Indian,2021,11.35,0
Ambati Rayudu,Batter,Indian,2022,8.59,0
Ambati Rayudu,Batter,Indian,2023,13.52,0
Ambati Rayudu,Batter,Indian,2024,9.11,0
Wriddhiman Saha,WK-Batter,Indian,2019,9.49,0
Wriddhiman Saha,WK-Batter,Indian,2020,7.81,0
Wriddhiman Saha,WK-Batter,Indian,2021,9.81,0
Wriddhiman Saha,WK-Batter,Indian,2022,6.94,0
Wriddhiman Saha,WK-Batter,Indian,2023,8.18,0
Wriddhiman Saha,WK-Batter,Indian,2024,10.57,0
Hardik Pandya,All-Rounder,Indian,2019,6.15,0
Hardik Pandya,All-Rounder,Indian,2020,7.41,0
Hardik Pandya,All-Rounder,Indian,2021,7.59,0
Hardik Pandya,All-Rounder,Indian,2022,15.0,0
Hardik Pandya,All-Rounder,Indian,2023,15.0,0
Hardik Pandya,All-Rounder,Indian,2024,15.0,0
Ravindra Jadeja,All-Rounder,Indian,2019,17.25,0
Ravindra Jadeja,All-Rounder,Indian,2020,10.73,0
Ravindra Jadeja,All-Rounder,Indian,2021,15.65,0
Ravindra Jadeja,All-Rounder,Indian,2022,16.0,0
Ravindra Jadeja,All-Rounder,Indian,2023,16.0,0
Ravindra Jadeja,All-Rounder,Indian,2024,16.0,0
Andre Russell,All-Rounder,Overseas,2019,12.18,1
Andre Russell,All-Rounder,Overseas,2020,11.3,1
Andre Russell,All-Rounder,Overseas,2021,10.7,1
Andre Russell,All-Rounder,Overseas,2022,12.0,1
Andre Russell,All-Rounder,Overseas,2023,12.0,1
Andre Russell,All-Rounder,Overseas,2024,12.0,1
Glenn Maxwell,All-Rounder,Overseas,2019,8.79,1
Glenn Maxwell,All-Rounder,Overseas,2020,8.68,1
Glenn Maxwell,All-Rounder,Overseas,2021,7.53,1
Glenn Maxwell,All-Rounder,Overseas,2022,11.0,1
Glenn Maxwell,All-Rounder,Overseas,2023,11.0,1
Glenn Maxwell,All-Rounder,Overseas,2024,11.0,1
Ben Stokes,All-Rounder,Overseas,2019,3.45,1
Ben Stokes,All-Rounder,Overseas,2020,2.97,1
Ben Stokes,All-Rounder,Overseas,2021,2.99,1
Ben Stokes,All-Rounder,Overseas,2022,12.5,1
Ben Stokes,All-Rounder,Overseas,2023,16.25,1
Ben Stokes,All-Rounder,Overseas,2024,16.25,1
Sam Curran,All-Rounder,Overseas,2019,3.92,1
Sam Curran,All-Rounder,Overseas,2020,6.12,1
Sam Curran,All-Rounder,Overseas,2021,5.56,1
Sam Curran,All-Rounder,Overseas,2022,18.5,1
Sam Curran,All-Rounder,Overseas,2023,18.5,1
Sam Curran,All-Rounder,Overseas,2024,18.5,1
Axar Patel,All-Rounder,Indian,2019,9.36,0
Axar Patel,All-Rounder,Indian,2020,5.84,0
Axar Patel,All-Rounder,Indian,2021,10.22,0
Axar Patel,All-Rounder,Indian,2022,8.25,0
Axar Patel,All-Rounder,Indian,2023,8.37,0
Axar Patel,All-Rounder,Indian,2024,8.02,0
Washington Sundar,All-Rounder,Indian,2019,4.57,0
Washington Sundar,All-Rounder,Indian,2020,5.32,0
Washington Sundar,All-Rounder,Indian,2021,5.94,0
Washington Sundar,All-Rounder,Indian,2022,5.18,0
Washington Sundar,All-Rounder,Indian,2023,4.16,0
Washington Sundar,All-Rounder,Indian,2024,5.45,0
Marcus Stoinis,All-Rounder,Overseas,2019,5.76,1
Marcus Stoinis,All-Rounder,Overseas,2020,3.94,1
Marcus Stoinis,All-Rounder,Overseas,2021,4.88,1
Marcus Stoinis,All-Rounder,Overseas,2022,5.85,1
Marcus Stoinis,All-Rounder,Overseas,2023,3.78,1
Marcus Stoinis,All-Rounder,Overseas,2024,4.57,1
Liam Livingstone,All-Rounder,Overseas,2021,3.72,1
Liam Livingstone,All-Rounder,Overseas,2022,3.21,1
Liam Livingstone,All-Rounder,Overseas,2023,3.21,1
Liam Livingstone,All-Rounder,Overseas,2024,3.13,1
Pat Cummins,All-Rounder,Overseas,2019,4.8,1
Pat Cummins,All-Rounder,Overseas,2020,3.13,1
Pat Cummins,All-Rounder,Overseas,2021,4.47,1
Pat Cummins,All-Rounder,Overseas,2022,7.25,1
Pat Cummins,All-Rounder,Overseas,2023,7.25,1
Pat Cummins,All-Rounder,Overseas,2024,20.5,1
Cameron Green,All-Rounder,Overseas,2022,1.04,1
Cameron Green,All-Rounder,Overseas,2023,0.88,1
Cameron Green,All-Rounder,Overseas,2024,1.15,1
Shakib Al Hasan,All-Rounder,Overseas,2019,4.39,1
Shakib Al Hasan,All-Rounder,Overseas,2020,5.92,1
Shakib Al Hasan,All-Rounder,Overseas,2021,6.2,1
Shakib Al Hasan,All-Rounder,Overseas,2022,4.67,1
Shakib Al Hasan,All-Rounder,Overseas,2023,4.56,1
Shakib Al Hasan,All-Rounder,Overseas,2024,4.27,1
Deepak Hooda,All-Rounder,Indian,2019,3.88,0
Deepak Hooda,All-Rounder,Indian,2020,3.0,0
Deepak Hooda,All-Rounder,Indian,2021,3.35,0
Deepak Hooda,All-Rounder,Indian,2022,4.61,0
Deepak Hooda,All-Rounder,Indian,2023,3.12,0
Deepak Hooda,All-Rounder,Indian,2024,3.77,0
Jasprit Bumrah,Bowler,Indian,2019,9.91,0
Jasprit Bumrah,Bowler,Indian,2020,11.55,0
Jasprit Bumrah,Bowler,Indian,2021,8.54,0
Jasprit Bumrah,Bowler,Indian,2022,12.0,0
Jasprit Bumrah,Bowler,Indian,2023,12.0,0
Jasprit Bumrah,Bowler,Indian,2024,12.0,0
Yuzvendra Chahal,Bowler,Indian,2019,9.98,0
Yuzvendra Chahal,Bowler,Indian,2020,11.34,0
Yuzvendra Chahal,Bowler,Indian,2021,13.01,0
Yuzvendra Chahal,Bowler,Indian,2022,6.5,0
Yuzvendra Chahal,Bowler,Indian,2023,6.5,0
Yuzvendra Chahal,Bowler,Indian,2024,6.5,0
Rashid Khan,Bowler,Overseas,2019,9.68,1
Rashid Khan,Bowler,Overseas,2020,6.8,1
Rashid Khan,Bowler,Overseas,2021,7.23,1
Rashid Khan,Bowler,Overseas,2022,15.0,1
Rashid Khan,Bowler,Overseas,2023,15.0,1
Rashid Khan,Bowler,Overseas,2024,15.0,1
Bhuvneshwar Kumar,Bowler,Indian,2019,11.05,0
Bhuvneshwar Kumar,Bowler,Indian,2020,11.22,0
Bhuvneshwar Kumar,Bowler,Indian,2021,11.84,0
Bhuvneshwar Kumar,Bowler,Indian,2022,14.38,0
Bhuvneshwar Kumar,Bowler,Indian,2023,8.97,0
Bhuvneshwar Kumar,Bowler,Indian,2024,12.81,0
Mohammed Shami,Bowler,Indian,2019,7.13,0
Mohammed Shami,Bowler,Indian,2020,6.46,0
Mohammed Shami,Bowler,Indian,2021,8.49,0
Mohammed Shami,Bowler,Indian,2022,6.48,0
Mohammed Shami,Bowler,Indian,2023,8.71,0
Mohammed Shami,Bowler,Indian,2024,5.45,0
Trent Boult,Bowler,Overseas,2019,8.75,1
Trent Boult,Bowler,Overseas,2020,5.15,1
Trent Boult,Bowler,Overseas,2021,6.15,1
Trent Boult,Bowler,Overseas,2022,5.68,1
Trent Boult,Bowler,Overseas,2023,7.05,1
Trent Boult,Bowler,Overseas,2024,8.22,1
Kagiso Rabada,Bowler,Overseas,2019,4.02,1
Kagiso Rabada,Bowler,Overseas,2020,4.75,1
Kagiso Rabada,Bowler,Overseas,2021,4.66,1
Kagiso Rabada,Bowler,Overseas,2022,4.62,1
Kagiso Rabada,Bowler,Overseas,2023,5.74,1
Kagiso Rabada,Bowler,Overseas,2024,4.49,1
Harshal Patel,Bowler,Indian,2019,8.08,0
Harshal Patel,Bowler,Indian,2020,5.71,0
Harshal Patel,Bowler,Indian,2021,6.2,0
Harshal Patel,Bowler,Indian,2022,7.37,0
Harshal Patel,Bowler,Indian,2023,10.16,0
Harshal Patel,Bowler,Indian,2024,5.66,0
Arshdeep Singh,Bowler,Indian,2019,6.35,0
Arshdeep Singh,Bowler,Indian,2020,5.93,0
Arshdeep Singh,Bowler,Indian,2021,6.65,0
Arshdeep Singh,Bowler,Indian,2022,5.29,0
Arshdeep Singh,Bowler,Indian,2023,4.89,0
Arshdeep Singh,Bowler,Indian,2024,6.76,0
Kuldeep Yadav,Bowler,Indian,2019,7.07,0
Kuldeep Yadav,Bowler,Indian,2020,9.0,0
Kuldeep Yadav,Bowler,Indian,2021,7.1,0
Kuldeep Yadav,Bowler,Indian,2022,5.37,0
Kuldeep Yadav,Bowler,Indian,2023,8.89,0
Kuldeep Yadav,Bowler,Indian,2024,6.06,0
T Natarajan,Bowler,Indian,2020,5.32,0
T Natarajan,Bowler,Indian,2021,3.61,0
T Natarajan,Bowler,Indian,2022,5.38,0
T Natarajan,Bowler,Indian,2023,6.08,0
T Natarajan,Bowler,Indian,2024,4.33,0
Mohit Sharma,Bowler,Indian,2019,5.13,0
Mohit Sharma,Bowler,Indian,2020,4.8,0
Mohit Sharma,Bowler,Indian,2021,4.84,0
Mohit Sharma,Bowler,Indian,2022,4.96,0
Mohit Sharma,Bowler,Indian,2023,5.23,0
Mohit Sharma,Bowler,Indian,2024,6.14,0
Matthew Wade,WK-Batter,Overseas,2019,2.02,1
Matthew Wade,WK-Batter,Overseas,2020,1.4,1
Matthew Wade,WK-Batter,Overseas,2021,1.43,1
Matthew Wade,WK-Batter,Overseas,2022,1.94,1
Matthew Wade,WK-Batter,Overseas,2023,1.32,1
Matthew Wade,WK-Batter,Overseas,2024,2.18,1
