player_name,team,nationality,role,season,matches,runs,batting_avg,strike_rate,fifties,hundreds,dot_ball_pct,boundary_pct,six_pct,career_matches,career_runs,career_avg,career_sr,career_fifties,career_hundreds,seasons_played
AB de Villiers,RCB,Overseas,Batter,2024,12,278,45.19,158.7,2,0,39.4,60.7,13.3,184,5162,39.7,151.7,40,3,14
Rishabh Pant,DC,Indian,WK-Batter,2019,10,404,33.37,156.8,2,0,44.9,46.0,26.2,111,3284,35.3,148.7,18,0,8
Rishabh Pant,DC,Indian,WK-Batter,2020,10,326,38.22,154.6,1,0,38.4,54.2,17.5,111,3284,35.3,148.7,18,0,8
Rishabh Pant,DC,Indian,WK-Batter,2021,17,490,39.8,152.9,2,0,30.8,46.0,26.3,111,3284,35.3,148.7,18,0,8
Rishabh Pant,DC,Indian,WK-Batter,2022,16,474,35.59,154.4,2,0,41.3,44.5,14.5,111,3284,35.3,148.7,18,0,8
Rishabh Pant,DC,Indian,WK-Batter,2023,9,461,40.89,150.1,2,0,24.6,48.0,20.0,111,3284,35.3,148.7,18,0,8
Rishabh Pant,DC,Indian,WK-Batter,2024,14,383,30.53,146.6,2,0,36.7,48.4,10.0,111,3284,35.3,148.7,18,0,8
Sanju Samson,RR,Indian,WK-Batter,2019,12,464,29.61,127.4,2,0,42.1,41.0,17.1,162,4183,29.88,137.4,26,3,11
Sanju Samson,RR,Indian,WK-Batter,2020,12,455,29.54,141.6,2,0,23.1,48.8,23.7,162,4183,29.88,137.4,26,3,11
Sanju Samson,RR,Indian,WK-Batter,2021,10,285,35.32,145.6,1,0,36.7,54.2,9.7,162,4183,29.88,137.4,26,3,11
Sanju Samson,RR,Indian,WK-Batter,2022,13,324,33.8,134.6,2,0,23.4,58.1,22.6,162,4183,29.88,137.4,26,3,11
Sanju Samson,RR,Indian,WK-Batter,2023,11,353,28.13,141.8,2,0,43.3,41.8,25.7,162,4183,29.88,137.4,26,3,11
Sanju Samson,RR,Indian,WK-Batter,2024,17,404,27.47,133.8,2,0,23.6,47.1,18.0,162,4183,29.88,137.4,26,3,11
Ishan Kishan,MI,Indian,WK-Batter,2019,16,393,26.33,134.9,2,0,32.8,51.9,8.5,105,2644,28.17,136.1,18,1,8
Ishan Kishan,MI,Indian,WK-Batter,2020,12,330,31.71,134.9,2,0,37.8,58.0,25.0,105,2644,28.17,136.1,18,1,8
Ishan Kishan,MI,Indian,WK-Batter,2021,12,419,25.39,140.7,2,0,30.4,62.1,19.6,105,2644,28.17,136.1,18,1,8
Ishan Kishan,MI,Indian,WK-Batter,2022,10,341,29.96,129.8,2,0,29.9,44.9,10.4,105,2644,28.17,136.1,18,1,8
Ishan Kishan,MI,Indian,WK-Batter,2023,13,338,29.03,138.8,2,0,21.4,45.7,14.3,105,2644,28.17,136.1,18,1,8
Ishan Kishan,MI,Indian,WK-Batter,2024,14,250,30.96,146.5,1,0,38.8,52.8,14.3,105,2644,28.17,136.1,18,1,8
Dinesh Karthik,RCB,Indian,WK-Batter,2019,14,275,27.45,143.8,1,0,21.7,63.9,11.5,229,4842,26.02,135.2,19,0,16
Dinesh Karthik,RCB,Indian,WK-Batter,2020,7,289,24.93,144.7,1,0,25.0,54.0,12.2,229,4842,26.02,135.2,19,0,16
Dinesh Karthik,RCB,Indian,WK-Batter,2021,15,315,21.52,139.5,1,0,38.6,64.9,13.2,229,4842,26.02,135.2,19,0,16
Dinesh Karthik,RCB,Indian,WK-Batter,2022,10,345,28.64,138.4,1,0,32.6,52.2,23.3,229,4842,26.02,135.2,19,0,16
Dinesh Karthik,RCB,Indian,WK-Batter,2023,10,363,21.26,134.6,1,0,32.8,60.0,19.1,229,4842,26.02,135.2,19,0,16
Dinesh Karthik,RCB,Indian,WK-Batter,2024,13,373,24.4,138.5,1,0,27.7,41.3,15.8,229,4842,26.02,135.2,19,0,16
Nicholas Pooran,LSG,Overseas,WK-Batter,2019,10,309,29.45,164.4,2,0,43.0,43.9,17.0,72,1813,29.72,155.1,13,0,6
Nicholas Pooran,LSG,Overseas,WK-Batter,2020,11,369,25.11,163.1,2,0,42.1,43.1,26.0,72,1813,29.72,155.1,13,0,6
Nicholas Pooran,LSG,Overseas,WK-Batter,2021,11,316,31.71,155.3,2,0,29.1,60.3,24.7,72,1813,29.72,155.1,13,0,6
Nicholas Pooran,LSG,Overseas,WK-Batter,2022,7,331,29.36,155.9,2,0,30.5,55.7,8.9,72,1813,29.72,155.1,13,0,6
Nicholas Pooran,LSG,Overseas,WK-Batter,2023,14,286,31.4,157.1,2,0,41.1,42.1,16.6,72,1813,29.72,155.1,13,0,6
Nicholas Pooran,LSG,Overseas,WK-Batter,2024,20,229,24.87,165.6,1,0,25.4,57.8,11.9,72,1813,29.72,155.1,13,0,6
Prithvi Shaw,DC,Indian,Batter,2019,11,339,23.61,138.0,2,0,29.8,50.5,29.1,73,1984,28.32,147.9,12,0,6
Prithvi Shaw,DC,Indian,Batter,2020,13,413,29.06,150.0,2,0,34.3,59.8,16.7,73,1984,28.32,147.9,12,0,6
Prithvi Shaw,DC,Indian,Batter,2021,18,393,32.15,156.3,2,0,34.1,54.3,12.5,73,1984,28.32,147.9,12,0,6
Prithvi Shaw,DC,Indian,Batter,2022,21,380,33.16,145.6,2,0,39.9,40.8,14.2,73,1984,28.32,147.9,12,0,6
Prithvi Shaw,DC,Indian,Batter,2023,12,266,26.7,156.6,1,0,31.6,60.5,11.3,73,1984,28.32,147.9,12,0,6
Prithvi Shaw,DC,Indian,Batter,2024,14,332,33.59,156.2,2,0,24.3,62.1,13.8,73,1984,28.32,147.9,12,0,6
Devdutt Padikkal,RR,Indian,Batter,2020,14,423,32.23,139.2,3,0,44.1,63.0,14.4,54,1473,32.73,131.2,12,1,4
Devdutt Padikkal,RR,Indian,Batter,2021,14,381,35.18,121.5,3,0,38.1,62.5,25.6,54,1473,32.73,131.2,12,1,4
Devdutt Padikkal,RR,Indian,Batter,2022,17,275,27.49,139.1,2,0,32.9,63.2,18.3,54,1473,32.73,131.2,12,1,4
Devdutt Padikkal,RR,Indian,Batter,2023,10,269,31.91,139.3,2,0,31.0,62.9,12.7,54,1473,32.73,131.2,12,1,4
Devdutt Padikkal,RR,Indian,Batter,2024,9,439,30.65,127.4,3,0,40.8,60.2,17.5,54,1473,32.73,131.2,12,1,4
Tilak Varma,MI,Indian,Batter,2022,20,485,37.07,134.9,3,0,26.7,62.3,15.6,29,834,33.36,134.6,6,0,2
Tilak Varma,MI,Indian,Batter,2023,12,374,31.89,132.4,2,0,20.4,48.0,12.7,29,834,33.36,134.6,6,0,2
Tilak Varma,MI,Indian,Batter,2024,17,376,29.63,142.3,2,0,24.0,48.9,27.6,29,834,33.36,134.6,6,0,2
Tim David,MI,Overseas,Batter,2022,14,222,39.33,170.6,1,0,41.1,62.5,26.1,28,629,39.31,161.3,3,0,2
Tim David,MI,Overseas,Batter,2023,18,250,41.73,150.6,1,0,29.1,58.4,25.5,28,629,39.31,161.3,3,0,2
Tim David,MI,Overseas,Batter,2024,16,344,40.62,158.5,1,0,44.0,58.7,13.3,28,629,39.31,161.3,3,0,2
Ambati Rayudu,CSK,Indian,Batter,2019,14,227,27.0,127.8,1,0,41.3,48.0,28.2,187,4350,28.0,125.6,26,0,14
Ambati Rayudu,CSK,Indian,Batter,2020,13,361,23.57,121.5,2,0,25.3,60.2,14.1,187,4350,28.0,125.6,26,0,14
Ambati Rayudu,CSK,Indian,Batter,2021,19,348,22.87,118.0,2,0,20.9,62.9,27.6,187,4350,28.0,125.6,26,0,14
Ambati Rayudu,CSK,Indian,Batter,2022,15,220,23.92,134.6,1,0,20.7,47.2,19.8,187,4350,28.0,125.6,26,0,14
Ambati Rayudu,CSK,Indian,Batter,2023,10,246,24.27,126.9,1,0,28.2,59.7,10.4,187,4350,28.0,125.6,26,0,14
Ambati Rayudu,CSK,Indian,Batter,2024,13,291,31.93,129.5,1,0,36.6,50.7,13.7,187,4350,28.0,125.6,26,0,14
Wriddhiman Saha,GT,Indian,WK-Batter,2019,9,186,22.51,118.0,0,0,20.8,49.6,8.2,200,3543,24.78,126.0,17,0,16
Wriddhiman Saha,GT,Indian,WK-Batter,2020,14,277,21.61,121.0,1,0,28.1,56.9,19.0,200,3543,24.78,126.0,17,0,16
Wriddhiman Saha,GT,Indian,WK-Batter,2021,15,282,20.4,122.5,1,0,33.3,54.8,14.8,200,3543,24.78,126.0,17,0,16
Wriddhiman Saha,GT,Indian,WK-Batter,2022,16,228,20.9,129.8,1,0,42.6,64.1,24.2,200,3543,24.78,126.0,17,0,16
Wriddhiman Saha,GT,Indian,WK-Batter,2023,14,265,28.71,130.6,1,0,35.3,42.9,29.7,200,3543,24.78,126.0,17,0,16
Wriddhiman Saha,GT,Indian,WK-Batter,2024,10,218,28.29,132.6,1,0,41.6,40.9,29.6,200,3543,24.78,126.0,17,0,16
Hardik Pandya,MI,Indian,All-Rounder,2019,12,263,32.28,151.1,1,0,22.8,63.5,17.7,121,2119,27.85,146.8,9,0,9
Hardik Pandya,MI,Indian,All-Rounder,2020,13,244,27.67,140.6,1,0,41.3,45.3,14.4,121,2119,27.85,146.8,9,0,9
Hardik Pandya,MI,Indian,All-Rounder,2021,13,284,25.1,143.2,1,0,30.5,41.4,28.9,121,2119,27.85,146.8,9,0,9
Hardik Pandya,MI,Indian,All-Rounder,2022,19,266,32.17,156.3,1,0,26.0,56.4,26.3,121,2119,27.85,146.8,9,0,9
Hardik Pandya,MI,Indian,All-Rounder,2023,10,227,31.28,149.7,0,0,34.4,45.8,23.9,121,2119,27.85,146.8,9,0,9
Hardik Pandya,MI,Indian,All-Rounder,2024,15,194,30.12,148.3,0,0,23.3,40.6,28.2,121,2119,27.85,146.8,9,0,9
Ravindra Jadeja,CSK,Indian,All-Rounder,2019,9,145,27.23,126.4,0,0,39.3,54.4,17.4,210,2692,26.39,127.1,4,0,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2020,14,174,23.12,120.1,0,0,27.6,58.4,21.6,210,2692,26.39,127.1,4,0,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2021,14,195,31.19,124.7,0,0,38.4,41.2,29.9,210,2692,26.39,127.1,4,0,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2022,15,213,30.1,129.7,0,0,44.3,61.3,9.4,210,2692,26.39,127.1,4,0,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2023,16,172,27.13,128.2,0,0,42.4,41.5,12.6,210,2692,26.39,127.1,4,0,16
Ravindra Jadeja,CSK,Indian,All-Rounder,2024,16,199,30.53,124.9,0,0,28.5,49.7,26.7,210,2692,26.39,127.1,4,0,16
Andre Russell,KKR,Overseas,All-Rounder,2019,11,225,28.48,185.7,1,0,28.7,59.3,23.7,109,2231,31.42,177.9,12,0,12
Andre Russell,KKR,Overseas,All-Rounder,2020,11,195,34.45,188.9,1,0,25.4,42.5,28.4,109,2231,31.42,177.9,12,0,12
Andre Russell,KKR,Overseas,All-Rounder,2021,15,171,34.2,181.5,0,0,39.3,57.4,26.8,109,2231,31.42,177.9,12,0,12
Andre Russell,KKR,Overseas,All-Rounder,2022,14,207,32.84,170.0,1,0,32.0,51.2,23.3,109,2231,31.42,177.9,12,0,12
Andre Russell,KKR,Overseas,All-Rounder,2023,14,239,31.28,189.0,1,0,24.0,62.4,25.6,109,2231,31.42,177.9,12,0,12
Andre Russell,KKR,Overseas,All-Rounder,2024,16,141,33.94,190.1,0,0,42.2,54.2,11.9,109,2231,31.42,177.9,12,0,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2019,11,183,33.28,161.6,1,0,32.5,50.7,9.6,113,2771,29.48,153.3,18,2,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2020,13,215,29.39,152.1,1,0,41.5,63.1,9.1,113,2771,29.48,153.3,18,2,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2021,17,298,24.45,144.7,1,0,31.0,50.6,21.4,113,2771,29.48,153.3,18,2,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2022,13,226,24.76,152.2,1,0,20.5,61.2,26.7,113,2771,29.48,153.3,18,2,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2023,17,248,31.44,158.7,1,0,20.9,55.6,16.1,113,2771,29.48,153.3,18,2,12
Glenn Maxwell,RCB,Overseas,All-Rounder,2024,14,242,34.28,143.1,1,0,37.1,51.8,16.0,113,2771,29.48,153.3,18,2,12
Ben Stokes,CSK,Overseas,All-Rounder,2019,18,109,27.62,123.1,0,0,25.1,64.5,21.6,43,919,26.25,130.7,5,0,7
Ben Stokes,CSK,Overseas,All-Rounder,2020,6,146,29.22,127.9,0,0,28.8,56.3,15.5,43,919,26.25,130.7,5,0,7
Ben Stokes,CSK,Overseas,All-Rounder,2021,10,163,27.76,120.5,0,0,36.0,63.3,17.3,43,919,26.25,130.7,5,0,7
Ben Stokes,CSK,Overseas,All-Rounder,2022,19,165,27.88,130.3,0,0,25.9,64.9,28.6,43,919,26.25,130.7,5,0,7
Ben Stokes,CSK,Overseas,All-Rounder,2023,16,144,29.71,132.5,0,0,44.8,52.7,8.3,43,919,26.25,130.7,5,0,7
Ben Stokes,CSK,Overseas,All-Rounder,2024,16,103,21.69,139.5,0,0,35.9,55.6,21.3,43,919,26.25,130.7,5,0,7
Sam Curran,PBKS,Overseas,All-Rounder,2019,16,81,17.87,136.3,0,0,44.2,61.7,17.0,52,546,20.23,138.0,1,0,5
Sam Curran,PBKS,Overseas,All-Rounder,2020,12,113,19.8,132.2,0,0,26.1,48.7,25.6,52,546,20.23,138.0,1,0,5
Sam Curran,PBKS,Overseas,All-Rounder,2021,14,120,17.85,142.1,0,0,42.3,49.7,25.4,52,546,20.23,138.0,1,0,5
Sam Curran,PBKS,Overseas,All-Rounder,2022,20,139,20.76,140.8,0,0,24.4,62.9,24.6,52,546,20.23,138.0,1,0,5
Sam Curran,PBKS,Overseas,All-Rounder,2023,16,97,20.5,127.3,0,0,31.8,47.1,25.9,52,546,20.23,138.0,1,0,5
Sam Curran,PBKS,Overseas,All-Rounder,2024,15,84,22.74,130.8,0,0,31.7,41.7,29.5,52,546,20.23,138.0,1,0,5
Axar Patel,DC,Indian,All-Rounder,2019,14,121,25.58,141.4,0,0,24.0,52.2,25.8,119,972,24.6,131.4,2,0,10
Axar Patel,DC,Indian,All-Rounder,2020,14,83,28.93,140.2,0,0,31.5,40.9,28.8,119,972,24.6,131.4,2,0,10
Axar Patel,DC,Indian,All-Rounder,2021,12,106,27.66,140.2,0,0,43.1,47.2,20.4,119,972,24.6,131.4,2,0,10
Axar Patel,DC,Indian,All-Rounder,2022,17,125,27.7,134.9,0,0,41.5,53.5,22.2,119,972,24.6,131.4,2,0,10
Axar Patel,DC,Indian,All-Rounder,2023,14,78,29.42,137.4,0,0,44.4,61.4,18.5,119,972,24.6,131.4,2,0,10
Axar Patel,DC,Indian,All-Rounder,2024,8,87,20.05,138.3,0,0,25.7,58.7,27.7,119,972,24.6,131.4,2,0,10
Washington Sundar,SRH,Indian,All-Rounder,2019,14,62,24.32,113.0,0,0,30.8,49.5,21.6,79,463,21.04,117.2,0,0,7
Washington Sundar,SRH,Indian,All-Rounder,2020,16,61,17.96,122.0,0,0,37.4,59.0,8.6,79,463,21.04,117.2,0,0,7
Washington Sundar,SRH,Indian,All-Rounder,2021,13,73,25.06,122.1,0,0,30.3,47.0,20.6,79,463,21.04,117.2,0,0,7
Washington Sundar,SRH,Indian,All-Rounder,2022,15,78,23.52,114.5,0,0,42.0,47.0,23.8,79,463,21.04,117.2,0,0,7
Washington Sundar,SRH,Indian,All-Rounder,2023,10,47,21.57,114.5,0,0,33.1,57.2,8.6,79,463,21.04,117.2,0,0,7
Washington Sundar,SRH,Indian,All-Rounder,2024,14,72,17.35,109.9,0,0,28.0,60.4,12.6,79,463,21.04,117.2,0,0,7
Marcus Stoinis,LSG,Overseas,All-Rounder,2019,16,168,33.05,151.0,0,0,20.9,49.5,22.4,79,1706,28.43,140.2,9,0,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2020,17,236,29.65,131.1,1,0,41.4,61.2,14.8,79,1706,28.43,140.2,9,0,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2021,19,240,26.92,133.4,1,0,42.5,40.8,14.1,79,1706,28.43,140.2,9,0,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2022,9,171,34.11,133.0,0,0,20.5,56.7,23.7,79,1706,28.43,140.2,9,0,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2023,12,239,25.09,132.3,1,0,34.1,49.7,17.5,79,1706,28.43,140.2,9,0,9
Marcus Stoinis,LSG,Overseas,All-Rounder,2024,12,205,27.65,150.4,1,0,21.9,51.8,9.7,79,1706,28.43,140.2,9,0,9
Liam Livingstone,PBKS,Overseas,All-Rounder,2021,14,269,26.96,166.3,1,0,30.3,57.4,8.1,40,1007,29.62,163.8,7,0,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2022,11,396,31.31,167.5,2,0,21.7,53.3,25.5,40,1007,29.62,163.8,7,0,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2023,13,322,34.32,152.5,2,0,39.7,44.5,15.5,40,1007,29.62,163.8,7,0,3
Liam Livingstone,PBKS,Overseas,All-Rounder,2024,9,333,28.04,176.1,2,0,28.4,63.6,20.7,40,1007,29.62,163.8,7,0,3
Pat Cummins,KKR,Overseas,All-Rounder,2019,14,23,24.69,149.2,0,0,44.1,52.8,20.1,46,317,21.13,156.2,1,0,10
Pat Cummins,KKR,Overseas,All-Rounder,2020,15,33,19.1,144.7,0,0,22.2,50.6,28.0,46,317,21.13,156.2,1,0,10
Pat Cummins,KKR,Overseas,All-Rounder,2021,16,28,24.5,154.8,0,0,29.1,50.9,12.4,46,317,21.13,156.2,1,0,10
Pat Cummins,KKR,Overseas,All-Rounder,2022,17,28,21.73,143.8,0,0,25.1,59.8,19.9,46,317,21.13,156.2,1,0,10
